name,price,url
Lady Million Eau my Gold Paco Rabanne,149,00,http://www.epocacosmeticos.com.br/lady-million-eau-my-gold-eau-de-toilette-paco-rabanne-perfume-feminino/p
Good Girl Carolina Herrera,299,00,http://www.epocacosmeticos.com.br/good-girl-eau-de-parfum-carolina-herrera-perfume-feminino/p
J'adore Eau de Toillette Dior,229,00,http://www.epocacosmeticos.com.br/j-adore-eau-de-toillette-dior-perfume-feminino/p
Sexy Woman Night Paris Elysees,54,90,http://www.epocacosmeticos.com.br/sexy-woman-night-eau-de-toilette-paris-elysees-perfume-feminino/p
Eau de Gaga Eau de Parfum Lady Gaga,59,90,http://www.epocacosmeticos.com.br/eau-de-gaga-eau-de-parfum-lady-gaga-perfume-unissex/p
Scuderia Ferrari Black Ferrari,59,90,http://www.epocacosmeticos.com.br/scuderia-ferrari-black-eau-de-toilette-ferrari-perfume-masculino/p
La Vie Est Belle Lancôme,299,90,http://www.epocacosmeticos.com.br/la-vie-est-belle-eau-de-parfum-lancome-perfume-feminino/p
Ck One Eau de Toilette Calvin Klein,139,00,http://www.epocacosmeticos.com.br/ck-one-eau-de-toilette-calvin-klein-perfume-unissex/p
Black Caviar Paris Elysees,54,90,http://www.epocacosmeticos.com.br/black-caviar-eau-de-toilette-paris-elysees-perfume-masculino/p
Billion Woman Paris Elysees,54,90,http://www.epocacosmeticos.com.br/billion-woman-eau-de-toilette-paris-elysees-perfume-feminino/p
212 Sexy Body Spray Carolina Herrera,139,00,http://www.epocacosmeticos.com.br/212-sexy-body-spray-carolina-herrera-perfume-corporal-feminino/p
Miss Vodka Paris Elysees,54,90,http://www.epocacosmeticos.com.br/miss-vodka-eau-de-toilette-paris-elysees-perfume-feminino/p
212 NYC Seductive Body Spray Carolina Herrera,112,90,http://www.epocacosmeticos.com.br/212-nyc-vintage-body-spray-carolina-herrera-perfume-masculino-para-o-corpo/p
212 Men NYC Seductive Body Spray Carolina Herrera,112,90,http://www.epocacosmeticos.com.br/212-nyc-men-vintage-body-spray-carolina-herrera-perfume-masculino-para-o-corpo/p
Blugirl Jus de Fleurs Eau de Toilette Blumarine,52,90,http://www.epocacosmeticos.com.br/jus-de-fleurs-eau-de-toilette-blumarine-perfume-feminino/p
1 Million Cologne Paco Rabanne,189,00,http://www.epocacosmeticos.com.br/1-million-cologne-paco-rabanne-perfume-masculino/p
La Nuit Trésor L'eau de Parfum Lancôme,299,90,http://www.epocacosmeticos.com.br/la-nuit-tresor-l-eau-de-parfum-lancome-perfume-feminino/p
Vodka Love Paris Elysees,54,90,http://www.epocacosmeticos.com.br/vodka-love-eau-de-toilette-paris-elysees-perfume-feminino/p
Vodka Brasil Yellow Paris Elysees,54,90,http://www.epocacosmeticos.com.br/vodka-brasil-yellow-eau-de-toilette-paris-elysees-perfume-masculino/p
L'eau par Kenzo Mirror Edition pour Femme Kenzo,98,00,http://www.epocacosmeticos.com.br/l-eau-par-kenzo-mirror-edition-pour-femme-eau-de-toilette-kenzo-perfume-feminino-/p
Color Sensational Extreme Matte Maybelline,19,90,http://www.epocacosmeticos.com.br/color-sensational-extreme-matte-maybelline-batom-em-lapis/p
M Perfect Cover BB Cream 50ml Missha,159,00,http://www.epocacosmeticos.com.br/m-perfect-cover-bb-cream-missha-base-facial/p
Água Micelar Solução de Limpeza Facial 5 em 1 L'Oréal Paris,29,90,http://www.epocacosmeticos.com.br/agua-micelar-solucao-de-limpeza-facial-5-em-1-l-oreal-paris-demaquilante/p
Revitalift Blur Mágico L'Oréal Paris,36,90,http://www.epocacosmeticos.com.br/revitalift-blur-magico-l-oreal-paris-aperfeicoador-da-pele/p
Pó Compacto Vult,28,10,http://www.epocacosmeticos.com.br/po-compacto-vult-po-compacto/p
Fit Me! Maybelline,23,70,http://www.epocacosmeticos.com.br/fit-me-maybelline-corretivo-liquido-para-peles-claras/p
Refil,247,00,http://www.epocacosmeticos.com.br/uv-protective-compact-foundation-fps35-shiseido-base-facial/p
Mary Lou Manizer The Balm,119,00,http://www.epocacosmeticos.com.br/mary-lou-manizer-the-balm-iluminador-facial/p
The Colossal Volum' Express Waterproof Maybelline,29,90,http://www.epocacosmeticos.com.br/the-colossal-volum--express-waterproof-maybelline-mascara-para-cilios/p
Super Stay 24H Maybelline,53,50,http://www.epocacosmeticos.com.br/super-stay-24h-maybelline-base-facial/p
BB Cream 5 em 1 SPF20 50ml L'oréal Paris,36,90,http://www.epocacosmeticos.com.br/bb-cream-5-em-1-spf20-loreal-paris-base/p
Fit Me! Maybelline,25,80,http://www.epocacosmeticos.com.br/fit-me-maybelline-po-compacto-para-peles-clara/p
Make Up Vult,17,20,http://www.epocacosmeticos.com.br/make-up-vult-batom-cremoso/p
Lápis para Sobrancelhas Vult,16,80,http://www.epocacosmeticos.com.br/lapis-para-sobrancelhas-vult-lapis/p
Perfect Up Vult,26,20,http://www.epocacosmeticos.com.br/perfect-up-vult-lapis-iluminador-para-sobrancelhas/p
Quinteto de Sombras Matte Vult,36,40,http://www.epocacosmeticos.com.br/quinteto-de-sombras-matte-vult-sombra/p
Base Líquida Matte Vult,37,30,http://www.epocacosmeticos.com.br/base-liquida-matte-vult-base/p
Batom Líquido Matte Vult,28,70,http://www.epocacosmeticos.com.br/batom-liquido-matte-vult-batom/p
Color Sensational Nudes Impecáveis Maybelline,28,00,http://www.epocacosmeticos.com.br/color-sensational-nudes-impecaveis-maybelline-batom/p
